name,role,skin_type,power_level,weight,height,age,eye_color,gender,hair_color,speed,universe,body_type,job,battle_iq,species,ranking,intelligence,abilities,training_time,special_attack,secret_code,win_prob
Neon Netrunner,Hero,Transparent,1437.0,119.0,260.0,94.0,Yellow,1.0,Brown,1151.0,Marvel,Athletic,Hero,927.0,Alien,3003.0,875.0,Time Manipulation,767.0,Fireburst Cannon,10111.0,0.32
Kakashi,H3ro,Transparent,8843.0,581.0,788.0,118.0,Yellow,2.0,Brown,870.0,Marvel,Regular,Scientist,909.0,Giant,4829.0,858.0,Super Strength,3895.0,Water Vortex,10111.0,0.63
Ragman,Hero,Draconish,3098.0,104.0,146.0,64.0,White,0.0,Black,1571.0,Marvel,Giant,God,950.0,Kryptonian,1482.0,897.0,Time Manipulation,1790.0,Water Fury,10101.0,0.7
Son Gohan,Hero,Scaly,5662.0,91.0,151.0,35.0,Blue,0.0,Brown,2872.0,Marvel,Muscular,Leader,895.0,Saiyan,4213.0,845.0,Mind Reading,4492.0,Water Fury,10001.0,0.6
Cloak,Hero,Stone,7601.0,598.0,747.0,85.0,Red,1.0,Gold,1184.0,Marvel Comics,Regular,Scientist,1303.0,Giant,1013.0,1185.0,Super Strength,5317.0,Fireburst Cannon,10010.0,0.5
Steel,Hero,Scaly,1153.0,124.0,151.0,32.0,Blue,1.0,Purple,3157.0,Marvel,Giant,Mage,1217.0,Alien,3817.0,1107.0,Super Speed,810.0,Water Vortex,10001.0,0.62
Valiant Mage,H3ro,Luminescent,13158.0,65.0,185.0,74.0,Glowing,1.0,Gold,1455.0,Marvel Comics,Fat,Arcanist,1257.0,Human,2362.0,1143.0,Super Strength,8788.0,Eternal Firewave,11111.0,0.55
Shang-Chi,Hero,Normal,2995.0,65.0,167.0,40.0,Brown,2.0,Gold,2510.0,Marvel Comics,Athletic,God,1268.0,Human,3153.0,1153.0,Teleportation,2013.0,Electric Surge,10000.0,0.56
Radiant Mage,Hero,Wooden,10973.0,543.0,783.0,72.0,Pink,0.0,Gold,1446.0,Marvel Comics,Giant,Captain,1265.0,Giant,105.0,1150.0,Teleportation,6986.0,Eternal Firewave,11010.0,0.64
The Question,Hero,Metallic,10820.0,100.0,190.0,49.0,Green,2.0,Bald,2121.0,Marvel,Giant,Hero,560.0,Alien,3248.0,560.0,Mind Reading,6870.0,Eternal Firewave,10011.0,0.54
Havok,Hero,Luminescent,10336.0,50.0,151.0,23.0,Glowing,2.0,Fire-like,4354.0,Marvel,Regular,Cult Leader,1320.0,Undead,3589.0,1200.0,Time Manipulation,8159.0,Grass blade,11111.0,0.73
Inuyasha,HerO,Hairy,16146.0,620.0,796.0,138.0,Blood,1.0,Black,841.0,Marvel Comics,Regular,Captain,951.0,Giant,1175.0,898.0,Teleportation,8113.0,Water Gun,10010.0,0.81
Shinra Kusakabe,H3ro,Transparent,17344.0,700.0,729.0,68.0,Yellow,0.0,Green,1496.0,Marvel,Regular,Assassin,592.0,Giant,2980.0,592.0,Flying,8558.0,Grass blade,10111.0,0.57
Vash the Stampede,Hero,Normal,6269.0,58.0,179.0,70.0,Brown,1.0,Black,1568.0,Marvel Comics,Athletic,Scientist,945.0,Human,3314.0,892.0,Super Strength,3737.0,Water Fury,10000.0,0.53
Radiant Knight,Hero,Scaly,8450.0,97.0,213.0,32.0,Blue,2.0,Pink,3126.0,Marvel,Muscular,Demon Lord,1023.0,Alien,1001.0,948.0,Flying,4753.0,Electric Nova,10001.0,0.62
Brave Templar,Hero,Hairy,3716.0,95.0,196.0,120.0,Blood,1.0,Gold,847.0,Marvel,Athletic,Saviors,1262.0,Saiyan,2054.0,1148.0,Super Strength,1946.0,Fire Fist,10010.0,10.4
Digital Cyborg,Hero,Draconish,10215.0,100.0,214.0,43.0,White,2.0,Silver,2362.0,Marvel,Giant,Saviors,981.0,Kryptonian,4009.0,909.0,Super Speed,5544.0,Eternal Firewave,10101.0,0.72
Reigen Arataka,H3ro,Hairy,6193.0,53.0,177.0,103.0,Blood,0.0,Purple,994.0,Marvel,Fat,Hero,1178.0,Undead,559.0,1071.0,Flying,4869.0,Grass blade,10010.0,0.57
Obsidian,HerO,Luminescent,15701.0,101.0,154.0,67.0,Glowing,2.0,Fire-like,1503.0,Marvel Comics,Muscular,Hero,1320.0,Alien,3135.0,1200.0,Flying,9314.0,Electric Nova,11111.0,0.75
Sakura,HerO,Draconish,6729.0,62.0,161.0,60.0,White,2.0,Pink,1814.0,DC,Athletic,Scientist,1030.0,Saiyan,1252.0,954.0,Super Speed,5682.0,Grass Tempest,10101.0,0.7
