Country,Population,IncomeGroup,Region,FatalityRate2010,FatalityRate2016,FatalityRateChange,Population_norm,FatalityRate2010_norm,FatalityRate2016_norm,GDP2010,GDP2016,GDPChange
Afghanistan,40099462,Low income,Eastern Mediterranean Region,19.7,20.5,0.8000000000000007,0.028121020577380133,0.43013100436681223,0.5176767676767676,631.49,617.126,-14.364000000000033
Albania,2854710,Upper middle income,European Region,13.3,12.8,-0.5,0.002000694263189423,0.29039301310043675,0.32323232323232326,4097.833,4124.405,26.572000000000116
Algeria,44177969,Lower middle income,African Region,22.4,21.2,-1.1999999999999993,0.030981341239864638,0.48908296943231444,0.5353535353535354,4480.719,3918.941,-561.7780000000002
Antigua and Barbuda,93219,High income,Region of the Americas,5.8,8.8,3.000000000000001,6.401749236005e-05,0.12663755458515286,0.22222222222222224,13574.44,15588.535,2014.0949999999993
Argentina,45276780,Upper middle income,Region of the Americas,12.8,13.2,0.3999999999999986,0.031751954556812546,0.27947598253275113,0.3333333333333333,10412.974,12772.868,2359.8940000000002
Armenia,2790974,Upper middle income,European Region,16.1,17.5,1.3999999999999986,0.001955995210878341,0.351528384279476,0.44191919191919193,3121.778,3524.0,402.2220000000002
Australia,25921089,High income,Western Pacific Region,6.6,5.5,-1.0999999999999996,0.01817750613635738,0.14410480349344978,0.1388888888888889,56577.949,51815.345,-4762.603999999999
Austria,8922082,High income,European Region,6.8,5.1,-1.7000000000000002,0.006255837014833572,0.14847161572052403,0.12878787878787878,46955.173,45278.829,-1676.3440000000046
Azerbaijan,10312992,Upper middle income,European Region,24.3,21.0,-3.3000000000000007,0.007231303922860533,0.5305676855895197,0.5303030303030303,5880.806,3897.707,-1983.0989999999997
Bahamas,407906,High income,Region of the Americas,12.1,13.4,1.3000000000000007,0.0002847124006476319,0.26419213973799127,0.3383838383838384,,,
Bahrain,1463265,High income,Eastern Mediterranean Region,14.2,6.7,-7.499999999999999,0.0010248521513061405,0.31004366812227074,0.1691919191919192,20827.719,22641.276,1813.5570000000007
Bangladesh,169356251,Lower middle income,South-East Asia Region,17.3,15.6,-1.700000000000001,0.1187708256023806,0.37772925764192145,0.3939393939393939,935.755,1679.021,743.266
Barbados,281200,High income,Region of the Americas,9.1,5.7,-3.3999999999999995,0.00019585150378984508,0.19868995633187775,0.14393939393939395,16203.334,16957.431,754.0969999999998
Belarus,9578167,Upper middle income,European Region,16.7,10.4,-6.299999999999999,0.006715959672915597,0.3646288209606987,0.26262626262626265,6025.686,5037.854,-987.8319999999994
Belgium,11611419,High income,European Region,8.1,6.1,-2.0,0.008141911058468678,0.17685589519650657,0.15404040404040403,44448.17,42076.398,-2371.771999999997
Belize,400031,Upper middle income,Region of the Americas,14.0,25.9,11.899999999999999,0.0002791895401457214,0.30567685589519655,0.654040404040404,5392.038,5975.323,583.2850000000008
Benin,12996895,Lower middle income,African Region,16.1,19.2,3.099999999999998,0.009113567017420417,0.351528384279476,0.4848484848484848,1010.314,1049.531,39.216999999999985
Bhutan,777486,Lower middle income,South-East Asia Region,17.7,18.8,1.1000000000000014,0.0005439046272249119,0.3864628820960699,0.47474747474747475,2097.54,2857.443,759.9030000000002
Bolivia (Plurinational State of),12079472,Lower middle income,Region of the Americas,18.6,17.0,-1.6000000000000014,0.008470163938024324,0.406113537117904,0.4292929292929293,,,
Bosnia and Herzegovina,3270943,Upper middle income,European Region,17.0,14.6,-2.4000000000000004,0.0022926049673534492,0.3711790393013101,0.3686868686868687,4633.861,4875.228,241.3670000000002
Botswana,2588423,Upper middle income,African Region,19.0,19.7,0.6999999999999993,0.0018139430308754874,0.4148471615720524,0.49747474747474746,6041.732,6411.552,369.8199999999997
Brazil,214326223,Upper middle income,Region of the Americas,22.3,18.7,-3.6000000000000014,0.15030896936502453,0.4868995633187774,0.4722222222222222,11578.7,9117.56,-2461.1400000000012
Bulgaria,6885868,Upper middle income,European Region,10.6,10.1,-0.5,0.004827808332416153,0.2314410480349345,0.255050505050505,6753.335,7596.976,843.6409999999996
Burkina Faso,22100683,Low income,African Region,22.8,22.7,-0.10000000000000142,0.015498195736527302,0.49781659388646293,0.5732323232323232,627.783,664.926,37.14300000000003
Burundi,12551213,Low income,African Region,24.3,18.5,-5.800000000000001,0.008801003269583912,0.5305676855895197,0.4671717171717172,231.549,281.062,49.513000000000005
Cabo Verde,587925,Lower middle income,African Region,20.5,23.1,2.6000000000000014,0.0004109625371166383,0.4475982532751092,0.5833333333333334,3632.185,3438.763,-193.42200000000003
Cambodia,16589023,Lower middle income,Western Pacific Region,30.4,27.0,-3.3999999999999986,0.011632782490310162,0.6637554585152838,0.6818181818181818,788.182,1320.282,532.0999999999999
Cameroon,27198628,Lower middle income,African Region,23.0,20.7,-2.3000000000000007,0.01907346419130979,0.5021834061135372,0.5227272727272727,1353.407,1412.866,59.45900000000006
Canada,38155012,High income,Region of the Americas,7.3,5.4,-1.8999999999999995,0.026757347421451264,0.15938864628820962,0.13636363636363638,47627.345,42382.635,-5244.709999999999
Central African Republic,5457154,Low income,African Region,24.2,24.4,0.1999999999999993,0.0038258288887175434,0.5283842794759825,0.6161616161616161,492.078,402.053,-90.02499999999998
Chad,17179740,Low income,African Region,27.5,27.1,-0.3999999999999986,0.012047061548990422,0.6004366812227074,0.6843434343434344,895.354,700.558,-194.79600000000005
Chile,19493184,High income,Region of the Americas,12.6,11.4,-1.1999999999999993,0.013669515960543669,0.2751091703056769,0.2878787878787879,12723.064,13722.878,999.8140000000003
China,1425893465,Upper middle income,Western Pacific Region,20.7,18.3,-2.3999999999999986,1.0000000000000002,0.45196506550218346,0.46212121212121215,,,
Colombia,51516562,Upper middle income,Region of the Americas,14.2,16.3,2.1000000000000014,0.036128011134378524,0.31004366812227074,0.4116161616161616,6498.597,6037.126,-461.47099999999955
Comoros,821625,Lower middle income,African Region,21.0,20.9,-0.10000000000000142,0.0005748599973447629,0.45851528384279483,0.5277777777777777,1322.638,1256.035,-66.60299999999984
Congo,5835806,Lower middle income,African Region,19.2,19.7,0.5,0.004091383450593024,0.41921397379912667,0.49747474747474746,,,
Costa Rica,5153957,Upper middle income,Region of the Americas,15.3,20.8,5.5,0.0036131920968956064,0.3340611353711791,0.5252525252525253,8268.859,11986.918,3718.0589999999993
Côte d'Ivoire,27478249,Lower middle income,African Region,22.2,20.0,-2.1999999999999993,0.01926956676609134,0.4847161572052402,0.5050505050505051,1650.97,1989.85,338.8799999999999
Croatia,4060135,High income,European Region,10.5,8.3,-2.1999999999999993,0.0028460776435723376,0.22925764192139741,0.2095959595959596,13676.692,12548.245,-1128.4469999999983
Cuba,11256372,Upper middle income,Region of the Americas,8.1,8.9,0.8000000000000007,0.007892911051786543,0.17685589519650657,0.22474747474747475,,,
Cyprus,1244188,High income,European Region,7.2,5.1,-2.1000000000000005,0.0008712100293788968,0.15720524017467252,0.12878787878787878,31521.893,24802.599,-6719.294000000002
Czechia,10510751,High income,European Region,7.9,6.0,-1.9000000000000004,0.007369995398415748,0.17248908296943233,0.15151515151515152,,,
Democratic Republic of the Congo,95894118,Low income,African Region,26.5,22.2,-4.300000000000001,0.06725068430310499,0.5786026200873363,0.5606060606060606,,,
Denmark,5854240,High income,European Region,4.9,3.8,-1.1000000000000005,0.00410431150271902,0.10698689956331879,0.09595959595959595,58177.162,54862.848,-3314.3139999999985
Dominica,72412,Upper middle income,Region of the Americas,10.2,7.1,-3.0999999999999996,4.9425218269478347e-05,0.22270742358078605,0.17929292929292928,6980.957,8089.25,1108.2929999999997
Dominican Republic,11117873,Upper middle income,Region of the Americas,22.4,30.4,8.0,0.007795779539830466,0.48908296943231444,0.7676767676767676,5688.751,7521.268,1832.5169999999998
Ecuador,17797737,Upper middle income,Region of the Americas,22.7,17.3,-5.399999999999999,0.012480472497764922,0.4956331877729258,0.4368686868686869,4633.247,6046.302,1413.0549999999994
Egypt,109262178,Lower middle income,Eastern Mediterranean Region,14.5,11.9,-2.5999999999999996,0.07662591358071383,0.3165938864628821,0.3005050505050505,2922.796,3862.011,939.2150000000001
El Salvador,6314167,Lower middle income,Region of the Americas,19.0,19.4,0.3999999999999986,0.004426865491552314,0.4148471615720524,0.48989898989898983,3017.326,3870.318,852.9920000000002
Eritrea,3620312,Low income,African Region,22.5,19.2,-3.3000000000000007,0.0025376229039492547,0.49126637554585156,0.4848484848484848,501.424,655.424,154.0
Estonia,1328701,High income,European Region,6.5,5.5,-1.0,0.0009304803163119712,0.1419213973799127,0.1388888888888889,14696.814,18290.293,3593.479000000001
Eswatini,1192271,Lower middle income,African Region,20.4,20.1,-0.29999999999999716,0.0008347998263722063,0.4454148471615721,0.5075757575757576,4263.91,3513.8,-750.1099999999997
Ethiopia,120283026,Low income,African Region,20.6,20.1,-0.5,0.08435500642093723,0.4497816593886464,0.5075757575757576,341.103,790.789,449.686
Finland,5535992,High income,European Region,5.2,4.8,-0.40000000000000036,0.003881119209511146,0.11353711790393015,0.1212121212121212,46647.002,43865.756,-2781.245999999999
France,64531444,High income,European Region,6.6,5.6,-1.0,0.04525555116419768,0.14410480349344978,0.1414141414141414,42178.577,38348.507,-3830.0699999999997
Gabon,2341179,Upper middle income,African Region,19.1,16.9,-2.200000000000003,0.001640546951899696,0.4170305676855896,0.42676767676767674,8933.306,7082.218,-1851.0880000000006
Gambia,2639916,Low income,African Region,15.8,18.0,2.1999999999999993,0.001850055876059599,0.34497816593886466,0.45454545454545453,,,
Georgia,3757980,Upper middle income,European Region,18.4,16.5,-1.8999999999999986,0.002634171622625701,0.4017467248908297,0.4166666666666667,3221.628,4060.893,839.2649999999999
Germany,83408554,High income,European Region,4.7,4.0,-0.7000000000000002,0.05849436325425731,0.10262008733624456,0.10101010101010101,42379.71,42124.196,-255.51399999999558
Ghana,32833031,Lower middle income,African Region,21.5,20.2,-1.3000000000000007,0.023024959020585472,0.4694323144104804,0.51010101010101,1757.045,1982.239,225.19399999999996
Greece,10445365,High income,European Region,12.8,9.5,-3.3000000000000007,0.007324139175332838,0.27947598253275113,0.2398989898989899,26743.4,17906.08,-8837.32
Guatemala,17608483,Upper middle income,Region of the Americas,13.5,13.0,-0.5,0.012347745711551771,0.29475982532751094,0.3282828282828283,2836.06,3982.02,1145.96
Guinea,13531906,Low income,African Region,24.9,25.9,1.0,0.009488778588212498,0.5436681222707423,0.654040404040404,630.549,679.964,49.41500000000008
Guinea-Bissau,2060721,Low income,African Region,30.6,30.9,0.29999999999999716,0.0014438573759447992,0.6681222707423582,0.7803030303030303,644.344,748.089,103.745
Guyana,804567,Upper middle income,Region of the Americas,15.4,17.7,2.299999999999999,0.0005628969555109103,0.3362445414847162,0.44696969696969696,3837.303,5796.819,1959.5160000000005
Haiti,11447569,Lower middle income,Region of the Americas,22.4,22.3,-0.09999999999999787,0.008027000494247975,0.48908296943231444,0.5631313131313131,1175.199,1263.434,88.2349999999999
Honduras,10278345,Lower middle income,Region of the Americas,16.7,18.2,1.5,0.007207005440598985,0.3646288209606987,0.45959595959595956,1904.346,2342.024,437.6779999999999
Hungary,9709786,High income,European Region,9.1,8.2,-0.9000000000000004,0.006808266133410956,0.19868995633187775,0.20707070707070704,13199.056,13083.4,-115.65600000000086
Iceland,370335,High income,European Region,2.5,6.6,4.1,0.000258363271515279,0.05458515283842795,0.16666666666666666,43293.021,62530.419,19237.398
India,1407563842,Lower middle income,South-East Asia Region,17.1,15.2,-1.9000000000000021,0.9871451490943988,0.37336244541484725,0.3838383838383838,1377.109,1714.28,337.17100000000005
Indonesia,273753191,Lower middle income,South-East Asia Region,13.2,12.3,-0.8999999999999986,0.19198603023048472,0.28820960698689957,0.3106060606060606,3178.133,3605.721,427.5880000000002
Iran (Islamic Republic of),87923432,Lower middle income,Eastern Mediterranean Region,33.3,19.8,-13.499999999999996,0.06166071771484711,0.7270742358078602,0.5,,,
Iraq,43533592,Upper middle income,Eastern Mediterranean Region,18.4,21.1,2.700000000000003,0.030529429585053263,0.4017467248908297,0.5328282828282829,4473.71,4639.496,165.78600000000006
Ireland,4986526,High income,European Region,4.8,4.0,-0.7999999999999998,0.0034957701214422252,0.10480349344978167,0.10101010101010101,48620.625,62556.626,13936.000999999997
Israel,8900059,High income,European Region,5.0,4.8,-0.20000000000000018,0.0062403919409499435,0.1091703056768559,0.1212121212121212,31278.046,37197.25,5919.2040000000015
Italy,59240329,High income,European Region,7.1,5.6,-1.5,0.0415448095712369,0.15502183406113537,0.1414141414141414,35815.615,31190.794,-4624.820999999996
Jamaica,2827695,Upper middle income,Region of the Americas,12.0,14.0,2.0,0.0019817482217342973,0.2620087336244542,0.35353535353535354,4894.369,5183.462,289.09300000000076
Japan,124612530,High income,Western Pacific Region,5.2,3.8,-1.4000000000000004,0.08739135519991673,0.11353711790393015,0.09595959595959595,45135.796,39411.424,-5724.372000000003
Jordan,11148278,Upper middle income,Eastern Mediterranean Region,12.4,15.3,2.9000000000000004,0.007817103041234985,0.27074235807860264,0.38636363636363635,3736.645,4181.255,444.6100000000001
Kazakhstan,19196465,Upper middle income,European Region,24.5,16.1,-8.399999999999999,0.013461422291303494,0.534934497816594,0.4065656565656566,9005.041,7662.006,-1343.034999999999
Kenya,53005614,Lower middle income,African Region,23.9,23.3,-0.5999999999999979,0.03717230655991387,0.5218340611353712,0.5883838383838383,1176.311,1688.852,512.5410000000002
Kiribati,128874,Lower middle income,Western Pacific Region,5.6,1.7,-3.8999999999999995,8.902290076584283e-05,0.12227074235807861,0.04292929292929293,1512.468,1587.423,74.95499999999993
Kuwait,4250114,High income,Eastern Mediterranean Region,13.3,12.6,-0.7000000000000011,0.0029793128836094747,0.29039301310043675,0.3181818181818182,32216.413,24800.544,-7415.868999999999
Kyrgyzstan,6527743,Lower middle income,European Region,16.8,17.8,1.0,0.004576649676257843,0.3668122270742359,0.4494949494949495,,,
Lao People's Democratic Republic,7425057,Lower middle income,Western Pacific Region,27.0,23.8,-3.1999999999999993,0.005205949999865628,0.5895196506550219,0.601010101010101,,,
Latvia,1873919,High income,European Region,11.6,9.8,-1.799999999999999,0.0013128502156301472,0.2532751091703057,0.2474747474747475,11316.932,14259.249,2942.316999999999
Lebanon,5592631,Lower middle income,Eastern Mediterranean Region,21.2,17.7,-3.5,0.003920841024872125,0.462882096069869,0.44696969696969696,7761.616,7617.732,-143.88400000000001
Lesotho,2281454,Lower middle income,African Region,31.9,28.7,-3.1999999999999993,0.0015986608765375875,0.6965065502183406,0.7247474747474747,1222.197,1099.146,-123.05099999999993
